;text
76;@paulocruzphi Cacete... Não é possível que essa galera não tenha noção do estelionato eleitoral que foi Bolsonaro...
77;Vídeo: Apoiador de Bolsonaro, Zezé Di Camargo convoca população para manifestação favorável ao voto impresso https://t.co/CiGqkyQpVt
78;"Eliane Nogueira vai assumir vaga no senado no lugar do filho.
Na prática o Ciro Nogueira passa a mandar no governo… https://t.co/8hM1TclaIR"
79;Vídeo: Apoiador de Bolsonaro, Zezé Di Camargo convoca população para manifestação favorável ao voto impresso https://t.co/vbJqhKjCCE
80;@opovoonline @jogopolitico O Kim que apoiou Bolsonaro e Eduardo Cunha falou isso? Hahahahaha
81;@MateusSimoesBH @otempo O apoio do Zelma ao Bolsonaro vai custar sua reeleição
82;@KillTheReich @FernandoHoliday Fernando Holiday não apoia Bolsonaro
83;Na campanha, Jair Bolsonaro prometeu que seu governo teria no máximo 15 ministérios. Mas começou com sua gestão com… https://t.co/lxxQugOFcm
84;"@_azrk qual o problema? tu quer derrotar bolsonaro ou tu queres escolher voto? 

eu quero derrotar bolsonaro 🤷🏻‍♂️"
85;@TiaDoTelegram @celmagnani 🤷🏻‍♀️
86;"Bolsonaro é mesmo um cara pra ser odiado. 
_Ele encerrou o poder de uma gang numerosa,
_Ele acabou com a mamata de… https://t.co/5b3iruHDQk"
87;"@CarlaZambelli38 Carla, eu tenho todas as explicações:

Bolsonaro entrou pela janela (com sua capa de INVISIBILIDAD… https://t.co/52iZo190EL"
88;@CanaldoFalcao1 Isso é pra desviar atenção....quem sabe esse atentado não é contra BOLSONARO 💯... Vamos atentar POVO....
89;"O mundo luta contra um vírus. 

Bolsonaro luta contra a colônia inteira de vírus e bactérias, personificadas pela c… https://t.co/5LcH7DFAFA"
90;Chupa Bolsonaro https://t.co/Wn1Y1DRa2V
91;Brazilian President Jair Bolsonaro may need surgery after suffering chronic hiccups for 10 days - ABC News https://t.co/5XHOMGad4s
92;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/LYSPpbEtFx"
93;@jairbolsonaro. Bolsonaro a gordinha lá, a peppa, vai inventar de tudo para te colocar no quarto dela e dizer que v… https://t.co/NZjuMv27dv
94;Bolsonaro não têm vergonha na cara.. https://t.co/KrJ58cudtH
95;Fui olhar os status, o cara só posta que usar máscara é inútil, foto em carreata do Bolsonaro e que o feminismo só… https://t.co/nCsleH9ar2
96;mais 3 horas p poder escutar blue summer e versão acústica de still here e eh OBVIO q isso eh culpa do bolsonaro
97;@AdelmoGuarana @bolsonaro pode matar esse gay
98;O governo Bolsonaro acabou com o maior banco de dados da ciência brasileira (quem diria?), zilhões de dados de pesq… https://t.co/TlMaYW6mHQ
99;@FialhoWenderson @joaoamoedonovo Temos uma posição bem diferente em relação ao Bolsonaro, eu praticamente acho td a… https://t.co/7BcFwEgzzp
100;Que vc deixa tudo bem limpo a gente já sabe ..vc come até a bosta do Bolsonaro...So para ele não ter que ir ao banh… https://t.co/4hzcirFn2v
101;@soudesabafos @Lucassmatheuuss  sonho cm o dia que vai manda o bolsonaro toma no cu
102;@Sooyaaaa22 Vai ter q mudar de país , jair bolsonaro 2022!
