;text
83;@favnewvegas @halarsenal @timebrasil @VertheinL @RemoCBR @Botafogo @WorldRowing @JogosOlimpicos @Tokyo2020… https://t.co/Ss6bV4zpGS
84;@mateuscostaM90 n tô xingando a família dele, e sim o futebol de péssima qualidade 🤪
85;@Rodrigo47505930 @futebol_info Aham Vasco com esse time aí kkkkkkk vcs são muito soberbos prç olha a realidade
86;@Tardonee Ai vamos pro time do departamento do SP, SUS PROFISSIONAIS FUTEBOL CLUBE! Kkkkkkkk
87;@jarbas2021 @VascodaGama se ilude bastante ganhando do Vasco com esse futebol péssimo q vcs apresentaram, confia kkkk
88;@MiniStiitch Triste demais essa situação. Chamar de pipoqueiro quem não conseguiu ganhar medalha é muita injustiça.… https://t.co/EmGYe0TMNx
89;@WilkensRudye @WilsonRamosRJ @jorgesalgadovg Quem tem que aparecer é o futebol dos nossos zagueiros, parem de tumultuar
90;@guiazevedo31 Sempre falo isso. Um cara pode ser craque e outro nem perto disso, mas mesmo assim ser melhor jogador… https://t.co/nGXcWAifHF
91;@Frotinhazinha um amigo meu falando de natação as 2 da manhã e o outro de futebol às 5 tbm
92;@alexcrfla Melhor futebol do Brasil
93;Namoral queria o Castan me marcando no futebol amanhã, eu ia meter uns 5 gols.. 😪
94;O que o Hulk tá jogando é brincadeira. Sobra no futebol brasileiro!! https://t.co/jMdlW7Z6QQ
95;Lisca esqueça esse Andrey. Ele se esconde do jogo e quando recebe a bola erra tudo. Estou te ajudando porque já est… https://t.co/83OuNQb4tF
96;Esse lateral Zeca jogava muito, foi pro vasco e o futebol dele sumiu. Parece que a ruindade do time passou pra ele kkkkk.
97;Qual necessidade de usarem 2 canais do sportv pra passar futebol?? Agr n dá mais pra assistir o ciclismo e olhe q tem brasileiro
98;pq tao passando futebol quem lig apra isso
99;@Miguelcastro133 @kevinryyan @galodoido9292 @futebol_info O erro do Hulk é not talk
